;Banque;Catégorie;Date;Numéro d'opération;Libellé;Crédit;Détail
1435;CEAPC;;2024-01-10;0110202420241001-09.38.58.098236 -;VIR SEPA MUTUELLE GENERALE EDUC;10.4;OW017P468624017OWRQ68626173GU25 OW26/09/24-2518/2551   
1436;CEAPC;;2024-01-10;0110202420241001-09.38.58.022374 -;VIR SEPA MUTUELLE GENERALE EDUC;100.04;TP-20240926-017OWNP68626861 -172 032443-0091007171-6396-   
1437;CEAPC;;2024-01-10;0110202420241001-08.36.36.548487 -;CB PHARMAMERIQUES    300924;735.85;CB PHARMAMERIQUES    300924 CONTRAT 8413786     REM 182473   
1438;CEAPC;;2024-01-10;0110202420241001-08.36.36.536768 -;CB PHARMAMERIQUES    300924;884.76;CB PHARMAMERIQUES    300924 CONTRAT 8413786     REM 175252   
1439;CEAPC;;2024-01-10;0110202420241001-08.36.36.524325 -;CB PHARMAMERIQUES    300924;170.9;CB PHARMAMERIQUES    300924 CONTRAT 8413785     REM 183293   
1440;CEAPC;;2024-01-10;0110202420241001-08.36.36.511600 -;CB PHARMAMERIQUES    300924;88.17;CB PHARMAMERIQUES    300924 CONTRAT 8413785     REM 174904   
1441;CEAPC;;2024-01-10;0110202420241001-05.54.37.696329 -;VIR SEPA ACTIL SAS;19.83;ACT:3973442/172032443-260924    
1442;CEAPC;;2024-01-10;0110202420241001-03.16.23.278436 -;VIR SEPA C.P.A.M. DE LA ROCHELL;1776.28;0000001720324432718122240930    
1443;CEAPC;;2024-01-10;0110202420241001-03.16.14.463553 -;VIR SEPA C.P.A.M. DE NIORT;5.76;0000001720324432711599240930    
1444;CEAPC;;2024-01-10;0110202420241001-03.16.09.012192 -;VIR SEPA C.P.A.M. D ANGOULEME;42.85;0000001720324432711622240930    
1445;CEAPC;;2024-01-10;0110202420241001-03.16.08.535709 -;VIR SEPA CPAM 131 MARSEILLE;7.96;0000001720324432710302240930    
1446;CEAPC;;2024-01-10;0110202420241001-03.16.04.762682 -;VIR SEPA C.P.A.M.LAVAL;5.2;0000001720324432715300240930    
1447;CEAPC;;2024-01-10;0110202420241001-03.16.00.573153 -;VIR SEPA C.P.A.M. MONT DE MARSA;6.85;0000001720324432713521240930    
1448;CEAPC;;2024-01-10;0110202420241001-03.15.55.685480 -;VIR SEPA HARMONIE MUTUELLE;241.01;TP-20240926-HARMONIE MUTUELLE -172032443-609143-4287-   
1449;CEAPC;;2024-01-10;0110202420241001-03.15.48.052918 -;VIR SEPA MUTUELLE DOUEST FRANCE;3.94;MUTUELLE D'OUEST FRANCE    
1450;CEAPC;;2024-01-10;0110202420241001-03.15.32.558725 -;VIR SEPA DDFIP DU VAR;2.27;0000001720324432692106240926    
1451;CEAPC;;2024-01-10;0110202420241001-03.15.17.009106 -;VIR SEPA MUTUELLE MIP L'ENTREPR;31.44;TP-20240927-MIP -172032443-0775671902-6396-   
1452;CEAPC;;2024-01-10;0110202420241001-03.15.16.768005 -;VIR SEPA ALMERYS;129.37;TP-20240930-ALMERYS TP -172032443-0098532001-6396-   
1453;CEAPC;;2024-01-10;0110202420241001-03.15.16.546018 -;VIR SEPA CARTE BLANCHE TP;8.45;TP-20240930-CARTE BLANCHE -172032443-0098532203-6396-   
1454;CEAPC;;2024-01-10;0110202420241001-03.15.08.446359 -;VIR SEPA CARTE BLANCHE TP;103.91;TP-20240928-CARTE BLANCHE -172032443-0098532203-6396-   
1455;CEAPC;;2024-01-10;0110202420241001-03.14.48.665092 -;VIR SEPA MUTUELLE 403;2.6;PREST M403  TIERS 172032443    
1456;CEAPC;;2024-01-10;0110202420241001-03.13.54.958688 -;VIR SEPA HARMONIE MUTUELLE;20.94;TP-20240927-HARMONIE MUTUELLE -172032443-609143-4287-   
1457;CEAPC;;2024-01-10;0110202420241001-03.13.20.533867 -;VIR SEPA ALMERYS;2.0;TP-20240928-ALMERYS TP -172032443-0098532001-6396-   
1458;CEAPC;;2024-01-10;0110202420241001-03.12.21.723539 -;VIR SEPA CPAM DES YVELINES;10.52;0000001720324432717132240930    
1459;CEAPC;;2024-01-10;0110202420241001-03.12.10.317984 -;VIR SEPA CPAM 75 PRESTATIONS;34.13;0000001720324432712201240930    
1460;CEAPC;;2024-01-10;0110202420241001-03.11.10.641488 -;VIR SEPA MUTUELLE 403;1.81;PREST M403  TIERS 172032443    
1461;CEAPC;;2024-01-10;0110202420241001-03.07.14.243640 -;VIR SEPA C.P.A.M. DE LIMOGES;6.86;0000001720324432714221240930    
1462;CEAPC;;2024-01-10;0110202420241001-03.07.11.604594 -;VIR SEPA CPAM LA ROCHE S/YON VV;17.25;0000001720324432717140240930    
1463;CEAPC;;2024-01-10;0110202420241001-03.07.05.572021 -;VIR SEPA C.P.A.M. AGEN;8.51;0000001720324432714811240930    
1464;CEAPC;;2024-01-10;0110202420241001-03.06.52.184929 -;VIR SEPA CPAM VAR;1.74;0000001720324432713121240930    
1465;CEAPC;;2024-01-10;0110202420241001-03.06.49.721653 -;VIR SEPA C.P.A.M. PAU;6.09;0000001720324432716831240930    
1474;CEAPC;;2024-09-30;3009202420240930-18.19.46.839552 -;VIR SEPA MNT SANTE PRESTATION R;424.76;0142531825 Prestations Sante   1 72032443   
1475;CEAPC;;2024-09-30;3009202420240930-18.19.44.351677 -;VIR SEPA KORELIO PRESTATIONS;0.95;FRAIS MEDICAUX LOT NUMERO:559    
1476;CEAPC;;2024-09-30;3009202420240930-16.19.30.268045 -;VIR SEPA MUTUALITE SOCIALE AGRI;16.55;2024092600000017203244 02751000    
1477;CEAPC;;2024-09-30;3009202420240930-16.19.22.574316 -;VIR SEPA MSA DES CHARENTES;5.44;2024092600000017203244 02171000    
1478;CEAPC;;2024-09-30;3009202420240930-13.14.36.719217 -;VIR SEPA C.P.A.M. DE POITIERS;4.38;0000001720324432707681240927    
1479;CEAPC;;2024-09-30;3009202420240930-13.14.25.086910 -;VIR SEPA VIAMEDIS;158.75;TP-20240924-VIREMENT 5946100 -172032443-0075990010-6396-   
1480;CEAPC;;2024-09-30;3009202420240930-13.13.59.336367 -;VIR SEPA MSA GIRONDE;3.61;2024092600000017203244 02331000    
1481;CEAPC;;2024-09-30;3009202420240930-13.13.46.282411 -;VIR SEPA MSA NORD-PAS DE CALAIS;5.2;2024092600000017203244 02591000    
1482;CEAPC;;2024-09-30;3009202420240930-10.43.29.234797 -;VIR SEPA C.P.A.M. ORLEANS;11.0;0000001720324432706031240927    
1483;CEAPC;;2024-09-30;3009202420240930-10.43.20.176073 -;VIR SEPA C.P.A.M. RENNES;7.16;0000001720324432707401240927    
1484;CEAPC;;2024-09-30;3009202420240930-10.43.05.735034 -;VIR SEPA CETIP CETIP;448.01;TP-20240930-SPSANT -172032443-0000476776-6396-   
1485;CEAPC;;2024-09-30;3009202420240930-09.39.01.833344 -;VIR SEPA CETIP CETIP;48.58;TP-20240930-ISANTE -172032443-0000476776-6396-   
1486;CEAPC;;2024-09-30;3009202420240930-09.38.54.183264 -;VIR SEPA HENNER GMC;28.12;429263556 REMBOURSEMENT DES FRAI S MEDICAUX   
1487;CEAPC;;2024-09-30;3009202420240930-09.38.40.085117 -;VIR SEPA MUTUELLE GENERALE EDUC;15.62;TP-20240925-077OWNP68554379 -172 032443-0091007771-6396-   
1488;CEAPC;;2024-09-30;3009202420240930-09.38.35.238895 -;VIR SEPA MUTUELLE GENERALE EDUC;38.31;TP-20240925-017OWNP68526868 -172 032443-0091007171-6396-   
1493;CEAPC;;2024-09-30;3009202420240930-08.33.26.485386 -;CB PHARMAMERIQUES    280924;111.56;CB PHARMAMERIQUES    280924 CONTRAT 8413786     REM 145747   
1494;CEAPC;;2024-09-30;3009202420240930-08.33.26.474920 -;CB PHARMAMERIQUES    280924;6.3;CB PHARMAMERIQUES    280924 CONTRAT 8413785     REM 146029   
1495;CEAPC;;2024-09-30;3009202420240930-08.33.26.464658 -;CB PHARMAMERIQUES    290924;128.45;CB PHARMAMERIQUES    290924 CONTRAT 8413786     REM 117373   
1496;CEAPC;;2024-09-30;3009202420240930-08.33.26.454684 -;CB PHARMAMERIQUES    290924;15.9;CB PHARMAMERIQUES    290924 CONTRAT 8413785     REM 116977   
1497;CEAPC;;2024-09-30;3009202420240930-05.52.44.623338 -;VIR SEPA ACTIL SAS;3.14;ACT:3957487/172032443-250924    
1504;CEAPC;;2024-09-30;3009202420240930-02.08.31.105739 -;VIR SEPA ALMERYS;19.18;TP-20240927-ALMERYS TP -172032443-0098532001-6396-   
1505;CEAPC;;2024-09-30;3009202420240930-02.08.27.536840 -;VIR SEPA Mutuelle Complementair;4.28;M.C.A. vos lots 932    
1506;CEAPC;;2024-09-30;3009202420240930-02.08.27.475552 -;VIR SEPA CPAM HAUTS DE SEINE SE;4.52;0000001720324432709201240927    
1507;CEAPC;;2024-09-30;3009202420240930-02.08.26.383963 -;VIR SEPA SECURITE SOCIALE MGP;168.7;0000001720324432700002240927    
1508;CEAPC;;2024-09-30;3009202420240930-02.08.25.458961 -;VIR SEPA CAMIEG;103.66;0000001720324432700031240927    
1509;CEAPC;;2024-09-30;3009202420240930-02.08.18.891213 -;VIR SEPA DDFIP DU VAR;3.43;0000001720324432682106240925    
1510;CEAPC;;2024-09-30;3009202420240930-02.07.56.852401 -;VIR SEPA C.P.A.M. BORDEAUX;1.83;0000001720324432700702240927    
1511;CEAPC;;2024-09-30;3009202420240930-02.07.44.288604 -;VIR SEPA C.P.A.M. PAU;1.07;0000001720324432706831240927    
1512;CEAPC;;2024-09-30;3009202420240930-02.07.27.343131 -;VIR SEPA C.P.A.M. DE LA ROCHELL;923.05;0000001720324432708122240927    
1513;CEAPC;;2024-09-30;3009202420240930-02.07.25.465664 -;VIR SEPA CPAM LOIRE-ATL;11.21;0000001720324432681099240927    
1514;CEAPC;;2024-09-30;3009202420240930-02.07.14.244911 -;VIR SEPA C.P.A.M. D ANGOULEME;6.53;0000001720324432701622240927    
1521;CEAPC;;2024-09-28;2809202420240928-08.38.32.830909 -;CB PHARMAMERIQUES    270924;320.88;CB PHARMAMERIQUES    270924 CONTRAT 8413786     REM 140924   
1522;CEAPC;;2024-09-28;2809202420240928-08.38.32.821871 -;CB PHARMAMERIQUES    270924;420.66;CB PHARMAMERIQUES    270924 CONTRAT 8413786     REM 135551   
1523;CEAPC;;2024-09-28;2809202420240928-08.38.32.812468 -;CB PHARMAMERIQUES    270924;117.83;CB PHARMAMERIQUES    270924 CONTRAT 8413785     REM 143037   
1524;CEAPC;;2024-09-28;2809202420240928-08.38.32.801371 -;CB PHARMAMERIQUES    270924;84.33;CB PHARMAMERIQUES    270924 CONTRAT 8413785     REM 138492   
1525;CEAPC;;2024-09-28;2809202420240928-08.38.04.626102 -;CB PHARMAMERIQUES    270924;376.61;CB PHARMAMERIQUES    270924 CONTRAT 8413786     REM 196887   
1526;CEAPC;;2024-09-28;2809202420240928-08.38.04.612566 -;CB PHARMAMERIQUES    270924;143.83;CB PHARMAMERIQUES    270924 CONTRAT 8413785     REM 198321   
1527;CEAPC;;2024-09-27;2709202420240927-13.11.05.852772 -;VIR SEPA MSA BEAUCE COEUR DE LO;16.49;2024092500000017203244 02281000    
1528;CEAPC;;2024-09-27;2709202420240927-13.10.38.030204 -;VIR SEPA VIAMEDIS;20.5;TP-20240923-VIREMENT 5905143 -172032443-0075990010-6396-   
1529;CEAPC;;2024-09-27;2709202420240927-10.42.46.481312 -;VIR SEPA C.P.A.M. TROYES;15.34;0000001720324432697030240926    
1530;CEAPC;;2024-09-27;2709202420240927-10.42.44.838033 -;VIR SEPA CPAM DE LILLE-DOUAI CF;2.1;0000001720324432695621240926    
1531;CEAPC;;2024-09-27;2709202420240927-10.42.43.432891 -;VIR SEPA C.P.A.M. TOURS;8.34;0000001720324432692011240926    
1532;CEAPC;;2024-09-27;2709202420240927-10.42.34.616500 -;VIR SEPA CETIP CETIP;137.44;TP-20240927-SPSANT -172032443-0000476776-6396-   
1537;CEAPC;;2024-09-27;2709202420240927-09.31.13.628726 -;VIR SEPA MUTUELLE GENERALE EDUC;6.0;OW017P468424017OWRQ68425795GU15 OW24/09/24-1507/1509   
1538;CEAPC;;2024-09-27;2709202420240927-09.31.12.760609 -;VIR SEPA MUTUELLE GENERALE EDUC;8.02;TP-20240924-094OWNP68486561 -172 032443-0091007941-6396-   
1539;CEAPC;;2024-09-27;2709202420240927-09.31.07.384715 -;VIR SEPA MUTUELLE GENERALE EDUC;48.41;TP-20240924-017OWNP68426529 -172 032443-0091007171-6396-   
1540;CEAPC;;2024-09-27;2709202420240927-09.31.06.122216 -;VIR SEPA MUTUELLE GENERALE EDUC;6.41;TP-20240924-075OWNP68443727 -172 032443-0091007751-6396-   
1541;CEAPC;;2024-09-27;2709202420240927-09.31.04.575387 -;VIR SEPA MUTUELLE GENERALE EDUC;4.31;OW094P468424094OWLQ68485051JS78 OW24/09/24-7843/7843   
1542;CEAPC;;2024-09-27;2709202420240927-09.31.03.471875 -;VIR SEPA MUTUELLE GENERALE EDUC;3.99;OW019P468424019OWRQ68427863DP05 OW24/09/24-0539/0539   
1543;CEAPC;;2024-09-27;2709202420240927-09.31.03.307991 -;VIR SEPA MUTUELLE GENERALE EDUC;7.36;TP-20240924-019OWNP68428120 -172 032443-0091007191-6396-   
1544;CEAPC;;2024-09-27;2709202420240927-09.30.52.036561 -;VIR SEPA HENNER GMC;1.64;429155515 REMBOURSEMENT DES FRAI S MEDICAUX   
1545;CEAPC;;2024-09-27;2709202420240927-09.30.50.489884 -;VIR SEPA MUTUELLE GENERALE EDUC;19.97;TP-20240924-045OWNP68481331 -172 032443-0091007451-6396-   
1546;CEAPC;;2024-09-27;2709202420240927-09.30.47.393496 -;VIR SEPA MUTUELLE GENERALE EDUC;10.77;OW045P468424045OWRQ68480745FN76 OW24/09/24-7640/7641   
1547;CEAPC;;2024-09-27;2709202420240927-09.30.46.515701 -;VIR SEPA MUTUELLE GENERALE EDUC;2.59;TP-20240924-086OWNP68467784 -172 032443-0091007861-6396-   
1548;CEAPC;;2024-09-27;2709202420240927-09.30.45.504493 -;VIR SEPA MUTUELLE GENERALE EDUC;5.52;OW035P468424035OWRQ68463028IK69 OW24/09/24-6926/6927   
1549;CEAPC;;2024-09-27;2709202420240927-09.30.43.426379 -;VIR SEPA MUTUELLE GENERALE EDUC;4.13;TP-20240924-035OWNP68464009 -172 032443-0091007351-6396-   
1552;CEAPC;;2024-09-27;2709202420240927-08.39.54.103308 -;CB PHARMAMERIQUES    260924;316.7;CB PHARMAMERIQUES    260924 CONTRAT 8413786     REM 137122   
1553;CEAPC;;2024-09-27;2709202420240927-08.39.54.091015 -;CB PHARMAMERIQUES    260924;69.76;CB PHARMAMERIQUES    260924 CONTRAT 8413785     REM 136603   
1554;CEAPC;;2024-09-27;2709202420240927-03.07.44.364507 -;VIR SEPA CPAM HAUTS DE SEINE SE;520.8;0000001720324432699201240926    
1555;CEAPC;;2024-09-27;2709202420240927-03.07.42.782001 -;VIR SEPA HARMONIE MUTUELLE;52.68;TP-20240925-HARMONIE MUTUELLE -172032443-609143-4287-   
1556;CEAPC;;2024-09-27;2709202420240927-03.07.41.472847 -;VIR SEPA HARMONIE MUTUELLE;25.49;TP-20240925-HARMONIE MUTUELLE -172032443-609143-4287-   
1557;CEAPC;;2024-09-27;2709202420240927-03.07.25.262141 -;VIR SEPA C.P.A.M. DE LA ROCHELL;2599.43;0000001720324432698122240926    
1558;CEAPC;;2024-09-27;2709202420240927-03.07.21.773158 -;VIR SEPA ALMERYS;245.16;TP-20240926-ALMERYS TP -172032443-0098532001-6396-   
1559;CEAPC;;2024-09-27;2709202420240927-03.07.19.614531 -;VIR SEPA CPAM 131 MARSEILLE;23.32;0000001720324432690302240926    
1560;CEAPC;;2024-09-27;2709202420240927-03.07.19.324048 -;VIR SEPA C.P.A.M. D ANGOULEME;3.32;0000001720324432691622240926    
1561;CEAPC;;2024-09-27;2709202420240927-03.07.05.248357 -;VIR SEPA C.P.A.M. BORDEAUX;15.51;0000001720324432690702240926    
1562;CEAPC;;2024-09-27;2709202420240927-03.07.04.345418 -;VIR SEPA C.P.A.M. DE NIORT;43.18;0000001720324432691599240926    
1563;CEAPC;;2024-09-27;2709202420240927-03.06.57.797641 -;VIR SEPA CPAM DES YVELINES;73.62;0000001720324432697132240926    
1564;CEAPC;;2024-09-27;2709202420240927-03.06.54.447296 -;VIR SEPA CPAM VAR;7.0;0000001720324432693121240926    
1565;CEAPC;;2024-09-27;2709202420240927-03.06.54.411274 -;VIR SEPA CPAM LA ROCHE S/YON VV;3.43;0000001720324432697140240926    
1566;CEAPC;;2024-09-27;2709202420240927-03.06.52.798108 -;VIR SEPA CPAM ESSONNE;16.56;0000001720324432691821240926    
1567;CEAPC;;2024-09-27;2709202420240927-03.06.46.938109 -;VIR SEPA CPAM 75 PRESTATIONS;52.63;0000001720324432692201240926    
1568;CEAPC;;2024-09-27;2709202420240927-03.06.45.825216 -;VIR SEPA CPAM MAINE-ET-LOIRE;147.71;0000001720324432693720240926    
1569;CEAPC;;2024-09-27;2709202420240927-03.06.27.891491 -;VIR SEPA MUTUELLE LE LIBRE CHOI;8.1;LIBRE CHOIX    
1570;CEAPC;;2024-09-27;2709202420240927-03.06.20.964259 -;VIR SEPA DDFIP DU VAR;7.82;0000001720324432672106240924    
1571;CEAPC;;2024-09-27;2709202420240927-03.05.58.508111 -;VIR SEPA MUTUELLE NATIONALE PER;7.0;LOT.492.250924172032443......... ................................ ................................ ................................ ............
1572;CEAPC;;2024-09-27;2709202420240927-03.05.53.256216 -;VIR SEPA CGSS REGLEMENTS;5.27;0000001720324432688581240925    
1574;CEAPC;;2024-09-26;2609202420240926-18.17.37.022809 -;VIR SEPA KORELIO PRESTATIONS;16.48;FRAIS MEDICAUX LOT NUMERO:798    
1575;CEAPC;;2024-09-26;2609202420240926-16.15.38.855657 -;VIR SEPA MUTUELLE GENERALE EDUC;8.1;TP-20240923-094OWNP68354263 -172 032443-0091007941-6396-   
1576;CEAPC;;2024-09-26;2609202420240926-16.15.38.366985 -;VIR SEPA MUTUELLE GENERALE EDUC;4.37;OW094P468324094OWLQ68352774JS68 OW23/09/24-6891/6891   
1577;CEAPC;;2024-09-26;2609202420240926-16.15.38.066576 -;VIR SEPA VIAMEDIS;84.51;TP-20240920-VIREMENT 5868542 -172032443-0075990010-6396-   
1578;CEAPC;;2024-09-26;2609202420240926-16.15.37.422570 -;VIR SEPA MUTUELLE GENERALE EDUC;15.34;OW092P468324092OWLQ68345395JI52 OW23/09/24-5231/5231   
1579;CEAPC;;2024-09-26;2609202420240926-16.15.24.670602 -;VIR SEPA MSA DES CHARENTES;11.78;2024092400000017203244 02171000    
1580;CEAPC;;2024-09-26;2609202420240926-13.12.21.921220 -;VIR SEPA PHARMACIE DES AMERIQUE;117.8;    
1581;CEAPC;;2024-09-26;2609202420240926-10.45.12.390998 -;VIR SEPA CETIP CETIP;197.19;TP-20240926-SPSANT -172032443-0000476776-6396-   
1582;CEAPC;;2024-09-26;2609202420240926-10.45.04.525829 -;VIR SEPA C.P.A.M. ORLEANS;9.4;0000001720324432686031240925    
1583;CEAPC;;2024-09-26;2609202420240926-10.45.04.471368 -;VIR SEPA C.P.A.M. TROYES;8.27;0000001720324432687030240925    
1584;CEAPC;;2024-09-26;2609202420240926-10.44.59.257758 -;VIR SEPA C.P.A.M LONS;2.6;0000001720324432683150240925    
1585;CEAPC;;2024-09-26;2609202420240926-10.44.57.275063 -;VIR SEPA ACTIL SAS;3.41;ACT:3923274/172032443-230924    
1586;CEAPC;;2024-09-26;2609202420240926-09.33.13.092888 -;VIR SEPA MUTUELLE GENERALE EDUC;7.0;TP-20240923-016OWNP68320108 -172 032443-0091007161-6396-   
1587;CEAPC;;2024-09-26;2609202420240926-09.33.09.407080 -;VIR SEPA MUTUELLE GENERALE EDUC;43.48;OW017P468324017OWRQ68321035GU07 OW23/09/24-0727/0734   
1588;CEAPC;;2024-09-26;2609202420240926-09.33.07.670436 -;VIR SEPA MUTUELLE GENERALE EDUC;3.32;TP-20240923-029OWNP68334153 -172 032443-0091007291-6396-   
1589;CEAPC;;2024-09-26;2609202420240926-09.33.07.173819 -;VIR SEPA MUTUELLE GENERALE EDUC;28.43;TP-20240923-017OWNP68321674 -172 032443-0091007171-6396-   
1590;CEAPC;;2024-09-26;2609202420240926-09.32.55.265875 -;VIR SEPA CETIP CETIP;99.77;TP-20240926-ISANTE -172032443-0000476776-6396-   
1597;CEAPC;;2024-09-26;2609202420240926-08.41.49.059564 -;CB PHARMAMERIQUES    250924;295.63;CB PHARMAMERIQUES    250924 CONTRAT 8413786     REM 132375   
1598;CEAPC;;2024-09-26;2609202420240926-08.41.49.047153 -;CB PHARMAMERIQUES    250924;300.64;CB PHARMAMERIQUES    250924 CONTRAT 8413786     REM 130398   
1599;CEAPC;;2024-09-26;2609202420240926-08.41.49.036875 -;CB PHARMAMERIQUES    250924;8.68;CB PHARMAMERIQUES    250924 CONTRAT 8413785     REM 128936   
1600;CEAPC;;2024-09-26;2609202420240926-08.41.49.027522 -;CB PHARMAMERIQUES    250924;61.26;CB PHARMAMERIQUES    250924 CONTRAT 8413785     REM 119518   
1601;CEAPC;;2024-09-26;2609202420240926-08.41.23.175499 -;CB PHARMAMERIQUES    250924;563.9;CB PHARMAMERIQUES    250924 CONTRAT 8413786     REM 192086   
1602;CEAPC;;2024-09-26;2609202420240926-08.41.23.159101 -;CB PHARMAMERIQUES    250924;155.73;CB PHARMAMERIQUES    250924 CONTRAT 8413785     REM 191264   
1603;CEAPC;;2024-09-26;2609202420240926-03.07.44.809525 -;VIR SEPA CPAM 75 PRESTATIONS;20.56;0000001720324432682201240925    
1604;CEAPC;;2024-09-26;2609202420240926-03.07.42.779374 -;VIR SEPA CPAM 77;5.0;0000001720324432680011240925    
1605;CEAPC;;2024-09-26;2609202420240926-03.07.09.812047 -;VIR SEPA C.P.A.M. LE MANS;4.86;0000001720324432686920240925    
1606;CEAPC;;2024-09-26;2609202420240926-03.07.07.895326 -;VIR SEPA C.P.A.M. SAINT LO;22.38;0000001720324432682111240925    
1607;CEAPC;;2024-09-26;2609202420240926-03.07.01.348672 -;VIR SEPA C.P.A.M. ALBI;10.95;0000001720324432686672240925    
1608;CEAPC;;2024-09-26;2609202420240926-03.06.54.745750 -;VIR SEPA C.P.A.M. NIMES;32.23;0000001720324432681111240925    
1609;CEAPC;;2024-09-26;2609202420240926-03.06.49.910518 -;VIR SEPA C.P.A.M. DE LA ROCHELL;1266.2;0000001720324432688122240925    
1610;CEAPC;;2024-09-26;2609202420240926-03.06.37.913166 -;VIR SEPA C.P.A.M. DE NIORT;16.5;0000001720324432681599240925    
1611;CEAPC;;2024-09-26;2609202420240926-03.06.00.553032 -;VIR SEPA C.P.A.M. D ANGOULEME;54.17;0000001720324432681622240925    
1612;CEAPC;;2024-09-26;2609202420240926-03.01.48.300851 -;VIR SEPA CPAM LA ROCHE S/YON VV;27.39;0000001720324432687140240925    
1614;CEAPC;;2024-09-25;2509202420240925-18.16.32.722082 -;VIR SEPA KORELIO PRESTATIONS;14.89;FRAIS MEDICAUX LOT NUMERO:552    
1615;CEAPC;;2024-09-25;2509202420240925-16.14.49.944456 -;VIR SEPA MSA POITOU;4.73;2024092200000017203244 02861000    
1616;CEAPC;;2024-09-25;2509202420240925-16.14.46.036843 -;VIR SEPA MSA SUD AQUITAINE;5.53;2024092200000017203244 02641000    
1617;CEAPC;;2024-09-25;2509202420240925-16.14.45.710702 -;VIR SEPA MSA DES CHARENTES;47.24;2024092200000017203244 02171000    
1618;CEAPC;;2024-09-25;2509202420240925-16.14.44.943707 -;VIR SEPA NEEL TRIMARANS;52.8;NEEL TRIMARANS SAS    
1619;CEAPC;;2024-09-25;2509202420240925-13.12.42.938408 -;VIR SEPA MSA MAINE-ET-LOIRE;2.5;2024092200000017203244 02491000    
1620;CEAPC;;2024-09-25;2509202420240925-13.12.38.848193 -;VIR SEPA VIAMEDIS;97.76;TP-20240919-VIREMENT 5831007 -172032443-0075990010-6396-   
1621;CEAPC;;2024-09-25;2509202420240925-10.40.05.370605 -;VIR SEPA C.P.A.M. HAUT-RHIN;11.08;0000001720324432678191240924    
1622;CEAPC;;2024-09-25;2509202420240925-10.40.02.524848 -;VIR SEPA C.P.A.M. ORLEANS;10.5;0000001720324432676031240924    
1623;CEAPC;;2024-09-25;2509202420240925-10.39.59.350965 -;VIR SEPA CETIP CETIP;30.95;TP-20240925-ISANTE -172032443-0000476776-6396-   
1624;CEAPC;;2024-09-25;2509202420240925-10.39.58.355490 -;VIR SEPA CETIP CETIP;74.84;TP-20240925-SPSANT -172032443-0000476776-6396-   
1625;CEAPC;;2024-09-25;2509202420240925-10.39.51.633953 -;VIR SEPA MUTUELLE DOUEST FRANCE;1.52;MUTUELLE D'OUEST FRANCE    
1626;CEAPC;;2024-09-25;2509202420240925-10.39.51.281430 -;VIR SEPA CPAM LOIRE;6.37;0000001720324432673181240924    
1627;CEAPC;;2024-09-25;2509202420240925-09.34.16.240449 -;VIR SEPA MUTUELLE GENERALE EDUC;142.56;TP-20240920-017OWNP68233183 -172 032443-0091007171-6396-   
1628;CEAPC;;2024-09-25;2509202420240925-09.34.12.153290 -;VIR SEPA MUTUELLE GENERALE EDUC;1.79;OW033P468224033OWRQ68267314OR53 OW20/09/24-5398/5398   
1629;CEAPC;;2024-09-25;2509202420240925-09.34.11.319716 -;VIR SEPA MUTUELLE GENERALE EDUC;3.32;TP-20240920-033OWNP68269530 -172 032443-0091007331-6396-   
1630;CEAPC;;2024-09-25;2509202420240925-09.34.10.716142 -;VIR SEPA MUTUELLE GENERALE EDUC;47.59;OW017P468224017OWRQ68232342GU02 OW20/09/24-0270/0272   
1633;CEAPC;;2024-09-25;2509202420240925-08.43.10.906789 -;CB PHARMAMERIQUES    240924;306.05;CB PHARMAMERIQUES    240924 CONTRAT 8413786     REM 132581   
1634;CEAPC;;2024-09-25;2509202420240925-08.43.10.893655 -;CB PHARMAMERIQUES    240924;65.14;CB PHARMAMERIQUES    240924 CONTRAT 8413785     REM 134512   
1635;CEAPC;;2024-09-25;2509202420240925-05.50.42.346069 -;VIR SEPA MUTUELLE VERTE;1.73;MUTUELLE VERTE PRESTATIONS : MVE RTE241522906T172032443   
1636;CEAPC;;2024-09-25;2509202420240925-05.50.34.940964 -;VIR SEPA ACTIL SAS;6.35;ACT:3907388/172032443-200924    
1637;CEAPC;;2024-09-25;2509202420240925-03.06.16.555601 -;VIR SEPA HARMONIE MUTUELLE;13.38;TP-20240923-HARMONIE MUTUELLE -172032443-609143-4287-   
1638;CEAPC;;2024-09-25;2509202420240925-03.06.06.767524 -;VIR SEPA C.P.A.M. DE NIORT;21.78;0000001720324432671599240924    
1639;CEAPC;;2024-09-25;2509202420240925-03.05.58.941508 -;VIR SEPA CPAM LA ROCHE S/YON VV;25.84;0000001720324432677140240924    
1640;CEAPC;;2024-09-25;2509202420240925-03.05.56.777577 -;VIR SEPA C.P.A.M. DE LA ROCHELL;3291.28;0000001720324432678122240924    
1641;CEAPC;;2024-09-25;2509202420240925-03.05.53.382547 -;VIR SEPA CPAM VAR;3.39;0000001720324432673121240924    
1642;CEAPC;;2024-09-25;2509202420240925-03.05.49.860007 -;VIR SEPA MUTUELLE 403;19.27;PREST M403  TIERS 172032443    
1643;CEAPC;;2024-09-25;2509202420240925-03.05.48.906473 -;VIR SEPA C.P.A.M. BORDEAUX;15.6;0000001720324432670702240924    
1644;CEAPC;;2024-09-25;2509202420240925-03.05.47.153383 -;VIR SEPA CPAM HAUTS DE SEINE SE;26.28;0000001720324432679201240924    
1645;CEAPC;;2024-09-25;2509202420240925-03.05.46.714383 -;VIR SEPA CPAM DU VAL D OISE;771.39;0000001720324432678500240924    
